,Radiant_team_id,Radiant_team_rating,Dire_team_id,Dire_team_rating,Radiant_hero1,Radiant_hero2,Radiant_hero3,Radiant_hero4,Radiant_hero5,Dire_hero1,Dire_hero2,Dire_hero3,Dire_hero4,Dire_hero5,Radiant_win,Radiant_fb,Radiant_10kill,start_time
336,2687313,1000,543897,1523.46,28,87,20,18,34,41,103,30,72,88,False,True,False,1468668051
337,2006913,1291.81,2538753,1068.9,91,19,30,98,55,66,100,22,67,101,False,False,False,1452262006
339,2163,1452,15,1511.43,54,28,111,49,60,65,32,86,93,98,True,False,True,1465638553
340,3704482,1096.81,5039050,1180.83,7,65,114,50,9,36,75,53,60,4,True,False,True,1509477939
343,2677025,1082.49,3477208,1000,8,64,91,38,13,65,76,86,18,58,True,False,True,1478561778
344,3326126,1254.42,3331948,1203.45,16,23,87,18,17,28,90,98,50,48,True,True,True,1476098930
345,3704482,1096.81,2537636,1000,8,97,5,103,33,96,74,50,102,107,False,True,True,1489693124
347,2533075,1085.05,2163,1452,28,79,70,57,109,50,106,14,38,74,False,False,True,1485281569
348,3715938,1000,3851150,1137.66,55,5,71,18,75,28,8,87,106,33,False,False,True,1487187491
349,2213967,1073.26,2879968,1000,87,56,65,107,21,20,29,54,7,34,True,True,True,1467211197
350,1333179,1200.19,2059672,1083.35,62,55,50,48,38,46,112,106,28,71,True,True,True,1442964270
351,3931472,1084.33,3785359,1068.27,27,7,13,104,12,53,71,63,75,106,True,True,False,1505234313
352,2533075,1085.05,2538753,1068.9,86,48,65,18,76,79,54,96,52,11,True,True,False,1484199351
356,4764493,1000,5140157,1073.64,78,51,79,48,49,107,39,27,41,10,False,True,True,1515752835
357,1276923,1000,2640099,1192.2,22,20,41,9,8,58,30,101,46,10,False,True,True,1453507009
360,3318843,1000,2640025,1232.58,79,28,103,70,44,6,91,41,84,9,False,True,True,1474802114
361,3586078,1172.24,2659468,1165.6,96,107,54,37,74,86,28,2,48,46,False,False,False,1488626786
362,5017210,1000,4425650,1160.59,60,65,30,41,76,19,15,87,16,102,False,False,False,1522649161
363,2535294,1000,2276247,1109.13,91,19,28,87,106,11,55,3,60,38,False,True,False,1448978276
364,2626685,1210.14,4425650,1160.59,13,3,7,78,1,107,87,43,72,108,False,False,False,1510311652
366,7,1091.93,1960029,1000,12,86,25,13,106,39,7,77,110,41,False,True,False,1431496938
